lga,elevation_above_sea_level,Australian_Statistical_Geography_2016_ID,lgaLabel
http://www.wikidata.org/entity/Q2024620,7,SSC51171,Onslow
http://www.wikidata.org/entity/Q2135834,7,SSC14458,Yamba
http://www.wikidata.org/entity/Q3398412,7,SSC41201,Port Wakefield
http://www.wikidata.org/entity/Q3817639,7,SSC50797,Kwinana Beach
http://www.wikidata.org/entity/Q21884512,7,SSC41182,Port Germein
http://www.wikidata.org/entity/Q21916209,7,SSC10940,Clybucca
http://www.wikidata.org/entity/Q4712542,7,SSC10026,Albion Park Rail
http://www.wikidata.org/entity/Q4829107,7,SSC10114,Avoca Beach
http://www.wikidata.org/entity/Q4916420,7,SSC40108,Birkenhead
http://www.wikidata.org/entity/Q4967574,7,SSC30375,Brighton
http://www.wikidata.org/entity/Q4997514,7,SSC10672,Bundeena
http://www.wikidata.org/entity/Q5166851,7,SSC50320,Coogee
http://www.wikidata.org/entity/Q5289307,7,SSC11267,Dolls Point
http://www.wikidata.org/entity/Q5309219,7,SSC50425,Drummond Cove
http://www.wikidata.org/entity/Q5338704,7,SSC20842,Edithvale
http://www.wikidata.org/entity/Q6841517,7,SSC21666,Middle Park
http://www.wikidata.org/entity/Q7161373,7,SSC13178,Pelican
http://www.wikidata.org/entity/Q7293497,7,SSC32416,Ransome
http://www.wikidata.org/entity/Q7353917,7,SSC60555,Roches Beach
http://www.wikidata.org/entity/Q7440369,7,SSC22238,Seaford
http://www.wikidata.org/entity/Q7442000,7,SSC41307,Seaton
http://www.wikidata.org/entity/Q7444011,7,SSC51326,Secret Harbour
http://www.wikidata.org/entity/Q7524092,7,SSC51343,Singleton
http://www.wikidata.org/entity/Q7926964,7,SSC32975,Victoria Point
http://www.wikidata.org/entity/Q8033824,7,SSC14402,Woolgoolga
http://www.wikidata.org/entity/Q8034505,7,SSC33194,Woree
http://www.wikidata.org/entity/Q14934903,7,SSC12628,Milsons Passage
http://www.wikidata.org/entity/Q14935863,7,SSC50915,Medina
http://www.wikidata.org/entity/Q25343466,7,SSC11161,Cundletown
http://www.wikidata.org/entity/Q548954,8,SSC60745,Whitemark
http://www.wikidata.org/entity/Q679881,8,SSC60282,Huonville
http://www.wikidata.org/entity/Q705385,8,SSC51290,Rockingham
http://www.wikidata.org/entity/Q733108,8,SSC12303,Lennox Head
http://www.wikidata.org/entity/Q765181,8,SSC50039,Australind
http://www.wikidata.org/entity/Q810446,8,LGA20740,Bass Coast Shire
http://www.wikidata.org/entity/Q894674,8,LGA11100,City of Botany Bay
http://www.wikidata.org/entity/Q1005913,8,SSC30541,Cardwell
http://www.wikidata.org/entity/Q1008783,8,SSC12956,Newport
http://www.wikidata.org/entity/Q1015796,8,SSC41489,Victor Harbor
http://www.wikidata.org/entity/Q1018373,8,SSC50404,Derby
http://www.wikidata.org/entity/Q1024041,8,SSC60683,Triabunna
http://www.wikidata.org/entity/Q1069392,8,LGA32500,Shire of Cook
http://www.wikidata.org/entity/Q1783750,8,SSC21372,Koo Wee Rup
http://www.wikidata.org/entity/Q1965048,8,LGA35670,Aboriginal Shire of Napranum
http://www.wikidata.org/entity/Q2066233,8,SSC32704,Strathpine
http://www.wikidata.org/entity/Q2271763,8,SSC60474,Orford
http://www.wikidata.org/entity/Q3304135,8,SSC12556,Meerschaum Vale
http://www.wikidata.org/entity/Q3398411,8,SSC41200,Port Vincent
http://www.wikidata.org/entity/Q3857059,8,SSC50937,Midland
